state,place,year,session,commodity,area,production
Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Potato,4.00,34.00
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,Potato,2.00,17.00
Andhra Pradesh,ANANTAPUR,2004,Whole Year ,Potato,2.00,20.00
Andhra Pradesh,ANANTAPUR,2010,Whole Year ,Potato,21.00,236.00
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Potato,18.00,181.00
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Potato,36.00,634.00
Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Potato,82.00,1179.00
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Potato,15.00,281.00
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,Potato,77.00,1442.00
Andhra Pradesh,CHITTOOR,2000,Whole Year ,Potato,957.00,8177.00
Andhra Pradesh,CHITTOOR,2001,Whole Year ,Potato,1024.00,9447.00
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Potato,1126.00,9776.00
Andhra Pradesh,CHITTOOR,2003,Whole Year ,Potato,1291.00,12045.00
Andhra Pradesh,CHITTOOR,2004,Whole Year ,Potato,1892.00,18727.00
Andhra Pradesh,CHITTOOR,2005,Whole Year ,Potato,1312.00,12841.00
Andhra Pradesh,CHITTOOR,2006,Whole Year ,Potato,1429.00,12086.00
Andhra Pradesh,CHITTOOR,2008,Whole Year ,Potato,1374.00,12392.00
Andhra Pradesh,CHITTOOR,2009,Whole Year ,Potato,1402.00,12099.00
Andhra Pradesh,CHITTOOR,2010,Whole Year ,Potato,1138.00,10817.00
Andhra Pradesh,CHITTOOR,2011,Whole Year ,Potato,1151.00,15206.00
Andhra Pradesh,CHITTOOR,2012,Kharif     ,Potato,240.00,3618.00
Andhra Pradesh,CHITTOOR,2012,Rabi       ,Potato,845.00,12739.00
Andhra Pradesh,CHITTOOR,2013,Whole Year ,Potato,1297.00,22926.00
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Potato,302.00,5186.00
Andhra Pradesh,CHITTOOR,2014,Rabi       ,Potato,920.00,15799.00
Andhra Pradesh,KADAPA,2010,Whole Year ,Potato,1.00,11.00
Andhra Pradesh,KADAPA,2012,Rabi       ,Potato,1.00,18.00
Andhra Pradesh,KADAPA,2014,Rabi       ,Potato,3.00,52.00
Andhra Pradesh,KURNOOL,2002,Whole Year ,Potato,1.00,5.00
Andhra Pradesh,KURNOOL,2004,Whole Year ,Potato,142.00,1406.00
Andhra Pradesh,KURNOOL,2008,Whole Year ,Potato,15.00,135.00
Andhra Pradesh,KURNOOL,2009,Whole Year ,Potato,8.00,69.00
Andhra Pradesh,KURNOOL,2010,Whole Year ,Potato,14.00,157.00
Andhra Pradesh,KURNOOL,2011,Whole Year ,Potato,32.00,321.00
Andhra Pradesh,KURNOOL,2012,Rabi       ,Potato,25.00,440.00
Andhra Pradesh,KURNOOL,2013,Whole Year ,Potato,17.00,244.00
Andhra Pradesh,KURNOOL,2014,Rabi       ,Potato,7.00,121.00
Andhra Pradesh,SPSR NELLORE,2013,Whole Year ,Potato,9.00,129.00
Andhra Pradesh,SRIKAKULAM,2000,Whole Year ,Potato,7.00,60.00
Andhra Pradesh,SRIKAKULAM,2001,Whole Year ,Potato,8.00,52.00
Andhra Pradesh,SRIKAKULAM,2014,Kharif     ,Potato,10.00,173.00
Andhra Pradesh,VISAKHAPATANAM,2000,Whole Year ,Potato,136.00,1163.00
Andhra Pradesh,VISAKHAPATANAM,2001,Whole Year ,Potato,173.00,1117.00
Andhra Pradesh,VISAKHAPATANAM,2002,Whole Year ,Potato,161.00,1398.00
Andhra Pradesh,VISAKHAPATANAM,2003,Whole Year ,Potato,201.00,1875.00
Andhra Pradesh,VISAKHAPATANAM,2004,Whole Year ,Potato,181.00,1791.00
Andhra Pradesh,VISAKHAPATANAM,2005,Whole Year ,Potato,138.00,1351.00
Andhra Pradesh,VISAKHAPATANAM,2006,Whole Year ,Potato,134.00,1134.00
Andhra Pradesh,VISAKHAPATANAM,2008,Whole Year ,Potato,95.00,857.00
Andhra Pradesh,VISAKHAPATANAM,2009,Whole Year ,Potato,36.00,311.00
Andhra Pradesh,VISAKHAPATANAM,2010,Whole Year ,Potato,96.00,1076.00
Andhra Pradesh,VISAKHAPATANAM,2011,Whole Year ,Potato,46.00,462.00
Andhra Pradesh,VISAKHAPATANAM,2012,Kharif     ,Potato,27.00,475.00
Andhra Pradesh,VISAKHAPATANAM,2013,Whole Year ,Potato,53.00,762.00
Andhra Pradesh,VISAKHAPATANAM,2014,Kharif     ,Potato,24.00,415.00
Andhra Pradesh,VISAKHAPATANAM,2014,Rabi       ,Potato,27.00,467.00
Andhra Pradesh,VIZIANAGARAM,2010,Whole Year ,Potato,2.00,22.00
